MZ	Intensity
5.00311	11973
5.22011	11951
5.43728	12023
5.65462	12115
5.87212	12091
6.08979	12058
6.30762	11957
6.52562	11804
6.74379	11582
6.96211	11428
7.18061	11309
7.39927	11280
7.61809	11310
7.83708	11384
8.05624	11472
8.27556	11416
8.49504	11384
8.71469	11306
8.93451	11326
9.15449	11415
9.37464	11379
9.59495	11308
9.81543	11211
10.03607	11375
10.25688	11513
10.47786	11545
10.69900	11530
10.92030	11445
11.14177	11480
11.36341	11640
11.58521	11926
11.80717	12232
12.02930	12546
12.25160	12727
12.47406	12674
12.69669	12878
12.91948	13001
13.14244	13004
13.36556	13009
13.58885	13159
13.81230	13425
14.03592	13446
14.25971	13949
14.48366	15301
14.70777	16353
14.93205	16575
15.15650	16575
15.38111	16575
15.60589	16575
15.83083	16575
16.05594	16575
16.28121	16575
16.50665	16575
16.73225	16575
16.95802	16575
17.18395	16575
17.41005	16575
17.63631	16575
17.86274	16575
18.08934	16575
18.31610	16575
18.54302	16575
18.77012	16575
18.99737	16575
19.22479	16567
19.45238	16458
19.68013	16283
19.90805	16044
20.13613	16007
20.36438	16044
20.59279	15940
20.82137	15436
21.05012	14988
21.27903	14794
21.50810	14607
21.73734	14454
21.96675	14372
22.19632	14254
22.42606	14194
22.65596	14042
22.88602	13802
23.11626	13768
23.34665	13738
23.57722	13883
23.80794	13928
24.03884	14112
24.26990	14143
24.50112	14327
24.73251	14349
24.96406	14427
25.19578	14423
25.42767	14584
25.65972	14789
25.89194	14869
26.12432	14881
26.35687	14808
26.58958	14898
26.82245	15296
27.05550	15548
27.28871	15673
27.52208	15817
27.75562	16069
27.98932	16374
28.22319	16476
28.45723	16509
28.69143	16448
28.92579	16377
29.16032	16344
29.39502	16343
29.62988	16255
29.86491	16140
30.10010	16038
30.33545	16051
30.57098	16068
30.80667	15994
31.04252	15929
31.27854	15891
31.51472	15885
31.75107	15803
31.98758	15778
32.22426	15655
32.46111	15584
32.69812	15487
32.93530	15456
33.17264	15305
33.41014	15266
33.64782	15239
33.88565	15190
34.12366	15212
34.36182	15133
34.60016	15058
34.83866	14997
35.07732	14947
35.31615	14837
35.55514	14766
35.79430	14710
36.03363	14579
36.27312	14469
36.51277	14315
36.75259	14298
36.99258	14319
37.23273	14330
37.47305	14245
37.71353	14036
37.95418	13988
38.19499	13948
38.43597	13909
38.67712	13748
38.91842	13753
39.15990	13767
39.40154	13720
39.64334	13700
39.88531	13997
40.12745	14511
40.36975	14820
40.61222	14922
40.85485	14879
41.09765	14466
41.34061	14278
41.58374	14031
41.82703	14060
42.07049	14119
42.31411	14102
42.55790	14071
42.80185	14082
43.04597	14202
43.29026	14320
43.53471	14426
43.77932	14557
44.02410	14738
44.26905	14802
44.51416	14876
44.75944	15003
45.00488	15038
45.25049	15116
45.49626	15160
45.74220	15184
45.98830	15221
46.23457	15278
46.48101	15274
46.72761	15226
46.97437	15201
47.22130	15254
47.46840	15223
47.71566	15151
47.96308	15034
48.21067	14976
48.45843	14866
48.70635	14755
48.95444	14681
49.20269	14701
49.45111	14675
49.69970	14600
49.94844	14548
50.19736	14508
50.44644	14483
50.69568	14475
50.94509	14550
51.19467	14617
51.44441	14628
51.69431	14676
51.94439	14845
52.19462	14955
52.44502	14944
52.69559	14945
52.94632	14909
53.19722	14757
53.44829	14538
53.69951	14354
53.95091	14164
54.20247	14074
54.45419	13966
54.70608	13870
54.95814	13793
55.21036	13714
55.46274	13616
55.71529	13636
55.96801	13649
56.22089	13612
56.47394	13664
56.72715	13693
56.98053	13707
57.23407	13822
57.48778	14013
57.74166	14377
57.99570	14545
58.24990	14704
58.50427	14789
58.75880	14947
59.01351	15074
59.26837	15123
59.52340	15128
59.77860	15180
60.03396	15189
60.28949	15047
60.54518	14913
60.80104	14939
61.05706	14986
61.31325	14975
61.56960	14996
61.82612	14970
62.08281	14970
62.33966	14953
62.59667	14954
62.85385	15042
63.11120	15158
63.36871	15207
63.62638	15346
63.88423	15374
64.14223	15407
64.40041	15350
64.65874	15306
64.91725	15421
65.17591	15755
65.43475	16077
65.69375	16310
65.95291	16440
66.21224	16345
66.47174	16272
66.73140	16158
66.99122	16017
67.25121	15810
67.51137	15660
67.77169	15415
68.03218	15039
68.29283	14632
68.55365	14614
68.81463	14403
69.07578	14157
69.33709	13889
69.59857	13659
69.86022	13481
70.12202	13374
70.38400	13268
70.64614	13193
70.90844	13199
71.17092	13270
71.43355	13444
71.69635	13678
71.95932	14065
72.22245	14402
72.48575	14647
72.74921	14737
73.01284	14870
73.27663	15014
73.54059	15104
73.80472	15261
74.06901	15323
74.33346	15444
74.59808	15524
74.86287	15612
75.12782	15562
75.39293	15574
75.65821	15602
75.92366	15693
76.18927	15895
76.45505	16014
76.72099	16106
76.98710	16078
77.25337	16109
77.51981	15956
77.78642	15911
78.05319	15895
78.32012	16207
78.58722	16346
78.85449	16532
79.12192	16562
79.38951	16496
79.65727	16473
79.92520	16469
80.19329	16505
80.46155	16485
80.72997	16488
80.99856	16480
81.26731	16458
81.53623	16394
81.80532	16297
82.07457	15969
82.34398	15683
82.61356	15456
82.88330	15264
83.15322	15045
83.42329	14817
83.69353	14553
83.96394	14353
84.23451	14060
84.50525	13667
84.77615	13195
85.04722	12724
85.31845	12157
85.58985	11871
85.86141	11850
86.13314	11740
86.40504	11853
86.67710	11928
86.94932	12095
87.22171	12411
87.49427	12813
87.76699	13016
88.03988	13006
88.31293	13184
88.58614	13266
88.85953	13409
89.13307	13512
89.40679	13677
89.68067	13912
89.95471	14277
90.22892	14611
90.50329	14878
